ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2020-03-21 00:00:00,001,颗粒物,0.51,20,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2020-03-21 00:00:00,002,二氧化硫,3.9,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2020-03-21 00:00:00,003,氮氧化物,55.3,250,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2020-03-21 00:00:00,004,一氧化碳,2.73,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFAB9E6954FFEA9E8C,2020-03-21 00:00:00,008,氯化氢,4.02,50,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2020-03-21 00:00:00,001,颗粒物,1.16,20,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2020-03-21 00:00:00,002,二氧化硫,6.64,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2020-03-21 00:00:00,003,氮氧化物,65.6,250,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2020-03-21 00:00:00,004,一氧化碳,5.63,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCF9791B456CFFA4992,2020-03-21 00:00:00,008,氯化氢,4.4,50,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2020-03-21 00:00:00,001,颗粒物,1.14,20,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2020-03-21 00:00:00,002,二氧化硫,6.94,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2020-03-21 00:00:00,003,氮氧化物,58.4,250,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2020-03-21 00:00:00,004,一氧化碳,2.18,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFD43A5E62E9D7DB13,2020-03-21 00:00:00,008,氯化氢,3.35,50,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2020-03-21 00:00:00,001,颗粒物,1.07,20,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2020-03-21 00:00:00,002,二氧化硫,4.57,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2020-03-21 00:00:00,003,氮氧化物,54.6,250,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2020-03-21 00:00:00,004,一氧化碳,2.1,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
4A80B89CADAE1CCFC8DD63A53D1E31B1,4A80B89CADAE1CCFBEE0F82A51356910,2020-03-21 00:00:00,008,氯化氢,3.51,50,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
