ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-03-05 00:00:00,001,颗粒物,,20,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:08.433,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-03-05 00:00:00,002,二氧化硫,,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:08.433,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-03-05 00:00:00,003,氮氧化物,,250,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:08.433,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-03-05 00:00:00,004,一氧化碳,,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:08.433,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAAF3D0ED4AFF7B04A2,2020-03-05 00:00:00,008,氯化氢,,50,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:08.433,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-03-05 00:00:00,001,颗粒物,0.7,20,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-03-05 00:00:00,002,二氧化硫,0.64,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-03-05 00:00:00,003,氮氧化物,42.74,250,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-03-05 00:00:00,004,一氧化碳,6.56,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA6856F37C3B7E4CC4,2020-03-05 00:00:00,008,氯化氢,0.75,50,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-03-05 00:00:00,001,颗粒物,0.31,20,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-03-05 00:00:00,002,二氧化硫,4.7,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-03-05 00:00:00,003,氮氧化物,46.21,250,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-03-05 00:00:00,004,一氧化碳,3.25,80,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
AEB93AA3E68F0DAA8E784F48708546E9,AEB93AA3E68F0DAA584057B6AE4A7B0D,2020-03-05 00:00:00,008,氯化氢,1.51,50,,0,0,2020-03-06T09:45:08.433,2020-03-06T09:45:09.617,20200305
