ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2020-03-21 00:00:00,001,颗粒物,2.92,20,通讯中断,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2020-03-21 00:00:00,002,二氧化硫,27.52,80,通讯中断,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2020-03-21 00:00:00,003,氮氧化物,138.38,250,通讯中断,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2020-03-21 00:00:00,004,一氧化碳,0.09,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF3499D9400421B5B6,2020-03-21 00:00:00,008,氯化氢,1.34,50,通讯中断,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2020-03-21 00:00:00,001,颗粒物,4.66,20,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2020-03-21 00:00:00,002,二氧化硫,16.67,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2020-03-21 00:00:00,003,氮氧化物,111.47,250,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2020-03-21 00:00:00,004,一氧化碳,0.08,80,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
FD46DC84DEB2A8EFDBB4CFCCA6486086,FD46DC84DEB2A8EF7F4436291A986460,2020-03-21 00:00:00,008,氯化氢,5.48,50,,0,0,2020-03-22T09:23:56.44,2020-03-22T09:23:57.083,20200321
