ps_code,mp_code,monitor_time,pollutant_code,pollutant_name,strength,standard_value,remark,status,data_status,create_time,update_time,day
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0039692934B0727F7CE,2020-03-26 00:00:00,001,颗粒物,5.15,20,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0039692934B0727F7CE,2020-03-26 00:00:00,002,二氧化硫,16.86,80,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0039692934B0727F7CE,2020-03-26 00:00:00,003,氮氧化物,151.02,250,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0039692934B0727F7CE,2020-03-26 00:00:00,004,一氧化碳,3.19,80,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0039692934B0727F7CE,2020-03-26 00:00:00,008,氯化氢,43.24,50,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0032169807C8D325C4F,2020-03-26 00:00:00,001,颗粒物,6.94,20,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0032169807C8D325C4F,2020-03-26 00:00:00,002,二氧化硫,18.71,80,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0032169807C8D325C4F,2020-03-26 00:00:00,003,氮氧化物,179.43,250,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0032169807C8D325C4F,2020-03-26 00:00:00,004,一氧化碳,3.85,80,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
32852A2A43E8C0033EC59B12762ED2DC,32852A2A43E8C0032169807C8D325C4F,2020-03-26 00:00:00,008,氯化氢,43.67,50,,0,0,2020-03-27T09:25:47.82,2020-03-27T09:25:48.813,20200326
